Key,summary,description,issuetype,status,assignee,reporter
NBUG,Resolve refund processing error,Users can't process refunds under certain conditions.,Bug,open,Akileswar Prathapkumar,Grace Hopper
NBUG,Fix login bug,Users are unable to log in.,Bug,open,Alice Smith,Hank Pym
NTEST,Add user profile page,Create a new page for user profiles.,Story,closed,Bob Jhonson,Hannah Brown
NULL,Update payment confirmation email,Improve the email content sent to users after payment.,Epic,open,Charlie Brown,Ian Wright
NULL,Add two-factor authentication,Enhance security by implementing two-factor authentication.,Story,open,Daisy White,Jesvi Jonathan
NTEST,Optimize search functionality,Improve search speed and relevance in the application.,Story,closed,Diana Prince,Grace Hopper
NULL,Implement reporting feature,Add reporting capabilities for admin users.,Story,open,Ethan Hunt,Hank Pym
NBUG,Optimize data backup process,Ensure efficient data backup solutions are in place.,Epic,open,Eve Adams,Hannah Brown
NULL,Create analytics dashboard,Develop a dashboard for tracking user behavior.,Story,open,Fiona Green,Ian Wright
NTEST,Implement user notifications,Create a notification system for user actions.,Story,closed,Frank Castle,Jesvi Jonathan
NBUG,Fix API rate limit issue,Resolve issues related to API rate limiting for users.,Bug,closed,George Black,Grace Hopper
NULL,Improve payment fraud detection,Enhance algorithms for detecting fraudulent transactions.,Epic,open,Akileswar Prathapkumar,Hank Pym
NTEST,Add multiple currency support,Allow transactions in multiple currencies.,Story,open,Alice Smith,Hannah Brown
NULL,Add search functionality to payments,Implement search functionality within payment history.,story,closed,Bob Jhonson,Ian Wright
NBUG,Fix integration with third-party services,Resolve integration issues with external payment services.,Bug,open,Charlie Brown,Jesvi Jonathan
NULL,Introduce user access logs,Create logging for user access and transactions.,Epic,closed,Daisy White,Grace Hopper
